"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","FAILURE","2020-03-15T21:39:33.332581+11:00[Australia/Sydney]","0.0","10.38"
"Search by keyword","Searching for a gherkin","FAILURE","2020-03-15T21:39:44.4908691+11:00[Australia/Sydney]","0.0","9.99"
